"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","deferredLongTermLiab","minorityInterest","(ticker)","Beta"
"1","AAPL",2023-05-08 16:00:04,"Apple Inc.",0,2745099616256,5.9,29.406778,54.594086,15821899776,"USD","2022-09-24",23646000000,24658000000,60932000000,4946000000,21223000000,135405000000,120805000000,52534000000,44011000000,352755000000,64115000000,11128000000,67094000000,98959000000,38394000000,153982000000,302083000000,64849000000,-3068000000,-11109000000,-11109000000,50672000000,50672000000,NA,NA,NA,NA,NA,NA,"AAPL","1.05698661256568"
"2","MSFT",2023-05-08 16:00:04,"Microsoft Corporation",0,2294963765248,9.23,33.439873,11.790435,7435489792,"USD","2022-06-30",13931000000,90818000000,44261000000,3742000000,16932000000,169684000000,6891000000,87546000000,21897000000,364840000000,19000000000,2749000000,59384000000,47032000000,30853000000,95082000000,198298000000,86939000000,84281000000,-4678000000,-4678000000,166542000000,87720000000,67524000000,11298000000,13515000000,NA,NA,NA,"MSFT","1.0434772554978"
"3","AMZN",2023-05-08 16:00:03,"Amazon.com, Inc.",0,1085858185216,0.43,246.11627,7.0253587,10260400128,"USD","2022-12-31",53888000000,16138000000,42002000000,34405000000,358000000,146791000000,2815000000,252838000000,33846000000,462675000000,79600000000,3265000000,19927000000,73850000000,14421000000,155393000000,316632000000,108000000,83193000000,-12324000000,-4487000000,146043000000,119658000000,20288000000,6097000000,NA,75066000000,NA,NA,"AMZN","1.11007777022413"
"4","NVDA",2023-05-08 16:00:04,"NVIDIA Corporation",0,720029745152,1.75,166.57715,32.52734,2470000128,"USD","2023-01-29",3389000000,9907000000,3827000000,5159000000,NA,23073000000,299000000,4845000000,6917000000,41182000000,1193000000,1250000000,3414000000,9703000000,1913000000,6563000000,19081000000,2000000,10171000000,-43000000,-43000000,22101000000,16053000000,4372000000,1676000000,3396000000,11971000000,NA,NA,"NVDA","1.49584032945159"
"5","GOOGL",2023-05-08 16:00:03,"Alphabet Inc.",0,1372224618496,4.51,23.895784,5.2552786,5941000192,"USD","2022-12-31",21879000000,91883000000,40258000000,2670000000,8105000000,164795000000,30492000000,127049000000,11884000000,365264000000,5128000000,NA,28022000000,12857000000,12618000000,69300000000,109120000000,68184000000,195563000000,-7603000000,-7603000000,256144000000,225100000000,28960000000,2084000000,5261000000,NA,NA,NA,"GOOGL","1.00893116797944"
"6","BRK-B",2023-05-08 16:03:02,"Berkshire Hathaway Inc. New",326.38,715720818688,-10.36,NA,0.0010081694,1298189952,"USD","2022-12-31",35811000000,92774000000,48301000000,25366000000,1177000000,203429000000,361971000000,201940000000,72514000000,948452000000,44635000000,12962000000,1193000000,107353000000,294324000000,62502000000,467835000000,8000000,511602000000,-74417000000,-6591000000,472360000000,363762000000,78119000000,30479000000,NA,35167000000,13670000000,8257000000,"BRK-B","0.778817390482567"
"7","GOOG",2023-05-08 16:00:03,"Alphabet Inc.",0,1369842122752,4.51,23.999998,5.278198,5873999872,"USD","2022-12-31",21879000000,91883000000,40258000000,2670000000,8105000000,164795000000,30492000000,127049000000,11884000000,365264000000,5128000000,NA,28022000000,12857000000,12618000000,69300000000,109120000000,68184000000,195563000000,-7603000000,-7603000000,256144000000,225100000000,28960000000,2084000000,5261000000,NA,NA,NA,"GOOG","1.00745238543362"
"8","META",2023-05-08 16:00:04,"Meta Platforms, Inc.",0,597808054272,7.84,29.753826,4.7964387,2212150016,"USD","2022-12-31",14681000000,26057000000,13466000000,NA,294000000,59549000000,6201000000,92191000000,6583000000,185727000000,4990000000,NA,15949000000,9923000000,7206000000,27026000000,60014000000,NA,64799000000,-3530000000,-3530000000,125713000000,104510000000,20306000000,897000000,NA,64444000000,NA,NA,"META","1.22336894383853"
"9","UNH",2023-05-08 16:00:01,"UnitedHealth Group Incorporated",493.19,458926260224,21.85,22.545538,5.4129305,931603008,"USD","2022-12-31",23365000000,4546000000,30450000000,NA,NA,64982000000,42128000000,5923000000,20714000000,245705000000,56771000000,2310000000,28359000000,54513000000,11775000000,89237000000,159358000000,9000000,86156000000,-8393000000,-8393000000,77772000000,-34186000000,93352000000,18606000000,NA,NA,NA,8575000000,"UNH","0.927676987607074"
"10","TSLA",2023-05-08 16:00:04,"Tesla, Inc.",0,544488357888,3.61,47.587257,11.328805,3169499904,"USD","2022-12-31",16253000000,5932000000,3116000000,12839000000,294000000,40917000000,NA,36635000000,4377000000,82338000000,15255000000,1016000000,5694000000,1029000000,5970000000,26709000000,36440000000,3000000,12885000000,-361000000,-361000000,44704000000,44295000000,194000000,215000000,NA,32177000000,NA,1194000000,"TSLA","1.39709161643026"
