"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Beta","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","deferredLongTermLiab","minorityInterest","X.ticker."
"1","AAPL",54.1738951739817,0.879356028626723,0.448237735986467,29.406778,0,3.20264953750141,1.05698661256568,"Apple Inc.","2023-05-08 16:00:04",2745099616256,5.9,54.594086,15821899776,"USD","2022-09-24",23646000000,24658000000,60932000000,4946000000,21223000000,135405000000,120805000000,52534000000,44011000000,352755000000,64115000000,11128000000,67094000000,98959000000,38394000000,153982000000,302083000000,64849000000,-3068000000,-11109000000,-11109000000,50672000000,50672000000,NA,NA,NA,NA,NA,NA,"AAPL"
"2","MSFT",26.1623776248062,1.78460697082518,0.855702024226165,33.439873,0,11.7974743364425,1.0434772554978,"Microsoft Corporation","2023-05-08 16:00:04",2294963765248,9.23,11.790435,7435489792,"USD","2022-06-30",13931000000,90818000000,44261000000,3742000000,16932000000,169684000000,6891000000,87546000000,21897000000,364840000000,19000000000,2749000000,59384000000,47032000000,30853000000,95082000000,198298000000,86939000000,84281000000,-4678000000,-4678000000,166542000000,87720000000,67524000000,11298000000,13515000000,NA,NA,NA,"MSFT"
"3","AMZN",9.07468105112905,0.944643581113692,0.463601278455747,246.11627,0,11.6621182904418,1.11007777022413,"Amazon.com, Inc.","2023-05-08 16:00:03",1085858185216,0.43,7.0253587,10260400128,"USD","2022-12-31",53888000000,16138000000,42002000000,34405000000,358000000,146791000000,2815000000,252838000000,33846000000,462675000000,79600000000,3265000000,19927000000,73850000000,14421000000,155393000000,316632000000,108000000,83193000000,-12324000000,-4487000000,146043000000,119658000000,20288000000,6097000000,NA,75066000000,NA,NA,"AMZN"
"4","NVDA",44.8532825734754,3.51561785768703,1.20921335359782,166.57715,0,6.49918994660068,1.49584032945159,"NVIDIA Corporation","2023-05-08 16:00:04",720029745152,1.75,32.52734,2470000128,"USD","2023-01-29",3389000000,9907000000,3827000000,5159000000,NA,23073000000,299000000,4845000000,6917000000,41182000000,1193000000,1250000000,3414000000,9703000000,1913000000,6563000000,19081000000,2000000,10171000000,-43000000,-43000000,22101000000,16053000000,4372000000,1676000000,3396000000,11971000000,NA,NA,"NVDA"
"5","GOOGL",6.09606671921813,2.37799422799423,1.5102181085044,23.895784,0,37.8892430104806,1.00893116797944,"Alphabet Inc.","2023-05-08 16:00:03",1372224618496,4.51,5.2552786,5941000192,"USD","2022-12-31",21879000000,91883000000,40258000000,2670000000,8105000000,164795000000,30492000000,127049000000,11884000000,365264000000,5128000000,NA,28022000000,12857000000,12618000000,69300000000,109120000000,68184000000,195563000000,-7603000000,-7603000000,256144000000,225100000000,28960000000,2084000000,5261000000,NA,NA,NA,"GOOGL"
"6","BRK-B",1.96755246201637,3.25475984768487,0.434830656107388,-1,326.38,280.207067879077,0.778817390482567,"Berkshire Hathaway Inc. New","2023-05-08 16:03:02",715720818688,-10.36,0.0010081694,1298189952,"USD","2022-12-31",35811000000,92774000000,48301000000,25366000000,1177000000,203429000000,361971000000,201940000000,72514000000,948452000000,44635000000,12962000000,1193000000,107353000000,294324000000,62502000000,467835000000,8000000,511602000000,-74417000000,-6591000000,472360000000,363762000000,78119000000,30479000000,NA,35167000000,13670000000,8257000000,"BRK-B"
"7","GOOG",6.08548255331853,2.37799422799423,1.5102181085044,23.999998,0,38.3214172463639,1.00745238543362,"Alphabet Inc.","2023-05-08 16:00:03",1369842122752,4.51,5.278198,5873999872,"USD","2022-12-31",21879000000,91883000000,40258000000,2670000000,8105000000,164795000000,30492000000,127049000000,11884000000,365264000000,5128000000,NA,28022000000,12857000000,12618000000,69300000000,109120000000,68184000000,195563000000,-7603000000,-7603000000,256144000000,225100000000,28960000000,2084000000,5261000000,NA,NA,NA,"GOOG"
"8","META",5.72010385869295,2.2033967290757,0.992251807911487,29.753826,0,47.2436314192536,1.22336894383853,"Meta Platforms, Inc.","2023-05-08 16:00:04",597808054272,7.84,4.7964387,2212150016,"USD","2022-12-31",14681000000,26057000000,13466000000,NA,294000000,59549000000,6201000000,92191000000,6583000000,185727000000,4990000000,NA,15949000000,9923000000,7206000000,27026000000,60014000000,NA,64799000000,-3530000000,-3530000000,125713000000,104510000000,20306000000,897000000,NA,64444000000,NA,NA,"META"
"9","UNH",-13.4243918628678,0.728195703575871,0.407773691938905,22.545538,493.19,-36.6958883842505,0.927676987607074,"UnitedHealth Group Incorporated","2023-05-08 16:00:01",458926260224,21.85,5.4129305,931603008,"USD","2022-12-31",23365000000,4546000000,30450000000,NA,NA,64982000000,42128000000,5923000000,20714000000,245705000000,56771000000,2310000000,28359000000,54513000000,11775000000,89237000000,159358000000,9000000,86156000000,-8393000000,-8393000000,77772000000,-34186000000,93352000000,18606000000,NA,NA,NA,8575000000,"UNH"
"10","TSLA",12.2923209817812,1.53195552061103,1.12285949506037,47.587257,0,13.9753908634288,1.39709161643026,"Tesla, Inc.","2023-05-08 16:00:04",544488357888,3.61,11.328805,3169499904,"USD","2022-12-31",16253000000,5932000000,3116000000,12839000000,294000000,40917000000,NA,36635000000,4377000000,82338000000,15255000000,1016000000,5694000000,1029000000,5970000000,26709000000,36440000000,3000000,12885000000,-361000000,-361000000,44704000000,44295000000,194000000,215000000,NA,32177000000,NA,1194000000,"TSLA"
"11","XOM",2.26164568337187,1.41401984213194,0.586041514100148,7.3872714,109.18,48.2436302034152,0.931788307484819,"Exxon Mobil Corporation","2023-05-08 16:03:01",441131728896,14.77,2.2202551,4043000064,"USD","2022-12-31",29640000000,NA,41749000000,24435000000,1807000000,97631000000,34800000000,211143000000,25493000000,369067000000,33169000000,112000000,29741000000,39170000000,52797000000,69045000000,166594000000,15752000000,432860000000,-253563000000,-13270000000,195049000000,195049000000,NA,NA,3825000000,NA,NA,7424000000,"XOM"
"12","JNJ",-25.1790743839542,0.990896383642163,0.500063306021307,34.027252,162.88,-6.44622569606677,0.552766565869149,"Johnson & Johnson","2023-05-08 16:00:01",421799854080,4.77,5.950871,2598729984,"USD","2023-01-01",14127000000,9392000000,16160000000,12483000000,NA,55294000000,1274000000,20903000000,16351000000,187378000000,11703000000,1551000000,2127000000,26888000000,26584000000,55802000000,110574000000,3120000000,128345000000,-54661000000,-12967000000,76804000000,-16752000000,45231000000,48325000000,9123000000,NA,NA,NA,"JNJ"
