"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","minorityInterest","deferredLongTermLiab","(ticker)"
"1","AAPL",2022-08-19 16:00:04,"Apple Inc.",170.85,2756463820800,6.05,28.350412,47.512466,16070800384,"USD","2022-06-25",2.7502e+10,2.0729e+10,4.2242e+10,5.433e+09,1.6386e+10,1.12292e+11,1.31077e+11,4.0335e+10,5.2605e+10,3.36309e+11,4.8343e+10,1.4009e+10,5.6539e+10,9.47e+10,5.3629e+10,1.29873e+11,2.78202e+11,6.2115e+10,5.289e+09,-9.297e+09,-9.297e+09,5.8107e+10,5.8107e+10,NA,NA,NA,NA,NA,NA,"AAPL"
"2","MSFT",2022-08-19 16:00:04,"Microsoft Corporation",285.19,2134075113472,9.52,30.057772,12.824363,7457889792,"USD","2022-06-30",1.3931e+10,9.0818e+10,4.4261e+10,3.742e+09,1.6932e+10,1.69684e+11,6.891e+09,8.7546e+10,2.1897e+10,3.6484e+11,1.9e+10,2.749e+09,5.9384e+10,4.7032e+10,3.0853e+10,9.5082e+10,1.98298e+11,8.6939e+10,8.4281e+10,-4.678e+09,-4.678e+09,1.66542e+11,8.772e+10,6.7524e+10,1.1298e+10,1.3515e+10,NA,NA,NA,"MSFT"
"3","AMZN",2022-08-19 16:00:04,"Amazon.com, Inc.",137.65,1408231931904,1.08,127.99073,10.712182,10187599872,"USD","2022-06-30",3.7478e+10,2.3232e+10,3.4597e+10,3.8153e+10,2.07e+08,1.33667e+11,3.168e+09,2.32136e+11,3.0562e+10,4.19728e+11,7.1219e+10,5.249e+09,1.2818e+10,6.4853e+10,1.6658e+10,1.40291e+11,2.88326e+11,1.07e+08,8.0043e+10,-1.2619e+10,-4.782e+09,1.31402e+11,1.11207e+11,2.0195e+10,NA,NA,6.3871e+10,NA,NA,"AMZN"
"4","TSLA",2022-08-19 16:00:04,"Tesla, Inc.",886,929596112896,8.11,109.741066,25.47005,1044489984,"USD","2022-06-30",1.8324e+10,5.91e+08,2.21e+09,8.108e+09,2.94e+08,3.1222e+10,NA,3.3684e+10,3.17e+09,6.8513e+10,1.1212e+10,1.057e+09,5.457e+09,2.095e+09,4.314e+09,2.1821e+10,3.0855e+10,1e+06,5.908e+09,-4.77e+08,-4.77e+08,3.6376e+10,3.5939e+10,1.96e+08,2.41e+08,NA,3.0944e+10,1.282e+09,NA,"TSLA"
"5","GOOGL",2022-08-19 16:00:04,"Alphabet Inc.",116.92,1534489919488,5.26,22.283268,6.001536,5996000256,"USD","2022-06-30",1.7936e+10,1.07061e+11,3.7073e+10,1.98e+09,8.321e+09,1.72371e+11,3.0665e+10,1.19621e+11,7.202e+09,3.55185e+11,4.409e+09,NA,2.8053e+10,1.285e+10,1.1981e+10,6.1354e+10,9.9766e+10,6.4402e+10,1.96845e+11,-5.828e+09,-5.828e+09,2.55419e+11,2.30093e+11,2.3949e+10,1.377e+09,1.49e+09,NA,NA,NA,"GOOGL"
"6","GOOG",2022-08-19 16:00:04,"Alphabet Inc.",117.88,1534496866304,5.27,22.413662,6.048131,6162999808,"USD","2022-06-30",1.7936e+10,1.07061e+11,3.7073e+10,1.98e+09,8.321e+09,1.72371e+11,3.0665e+10,1.19621e+11,7.202e+09,3.55185e+11,4.409e+09,NA,2.8053e+10,1.285e+10,1.1981e+10,6.1354e+10,9.9766e+10,6.4402e+10,1.96845e+11,-5.828e+09,-5.828e+09,2.55419e+11,2.30093e+11,2.3949e+10,1.377e+09,1.49e+09,NA,NA,NA,"GOOG"
"7","UNH",2022-08-19 16:00:01,"UnitedHealth Group Incorporated",548.55,512889192448,19.14,28.64786,7.0403943,935382976,"USD","2022-06-30",2.4612e+10,3.352e+09,3.1157e+10,NA,NA,6.4339e+10,4.2427e+10,9.421e+09,1.8541e+10,2.30172e+11,5.4123e+10,5.592e+09,2.8983e+10,4.5799e+10,1.4548e+10,8.8698e+10,1.49045e+11,1e+07,8.054e+10,-7.73e+09,-7.73e+09,7.282e+10,-2.2624e+10,8.4159e+10,1.1285e+10,NA,NA,8.307e+09,NA,"UNH"
"8","NVDA",2022-08-19 16:00:04,"NVIDIA Corporation",177.04,444797091840,3.729,47.86538,16.981258,2.492e+09,"USD","2022-05-01",3.887e+09,1.6451e+10,5.438e+09,3.163e+09,NA,2.9575e+10,2.85e+08,3.772e+09,5.004e+09,4.5212e+10,1.999e+09,NA,3.089e+09,1.0947e+10,1.631e+09,5.562e+09,1.8892e+10,3e+06,1.5758e+10,-6.4e+07,-6.4e+07,2.632e+10,1.9744e+10,4.365e+09,2.211e+09,1.784e+09,1.0623e+10,NA,NA,"NVDA"
"9","JNJ",2022-08-19 16:00:02,"Johnson & Johnson",169.31,445146431488,6.87,24.644833,5.829431,2629179904,"USD","2022-07-03",1.0983e+10,2.1585e+10,1.6139e+10,1.1437e+10,NA,6.3847e+10,1.861e+09,1.8354e+10,1.7088e+10,1.77724e+11,9.765e+09,NA,1.98e+09,2.8292e+10,2.8254e+10,4.4821e+10,1.01367e+11,3.12e+09,1.26216e+11,-5.2979e+10,-1.3843e+10,7.6357e+10,-2.17e+08,3.4166e+10,4.2408e+10,9.514e+09,NA,NA,NA,"JNJ"
"10","META",2022-08-19 16:00:04,"Meta Platforms, Inc.",167.19,451400892416,11.58,14.504318,3.6018186,2280669952,"USD","2022-06-30",1.2681e+10,2.7808e+10,1.1525e+10,NA,2.28e+08,5.5987e+10,6.536e+09,8.1718e+10,4.344e+09,1.69779e+11,4.008e+09,NA,1.514e+09,NA,6.469e+09,2.2217e+10,4.4012e+10,NA,6.9249e+10,-3.411e+09,-3.411e+09,1.25767e+11,1.04573e+11,2.0229e+10,9.65e+08,NA,5.9929e+10,NA,NA,"META"
