"","Symbol","Trade.Time","Name","Ask","Market.Capitalization","Earnings.Share","P.E.Ratio","Price.Book","Shares.Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","deferredLongTermAssetCharges","accountsPayable","deferredLongTermLiab","inventory","shortLongTermDebt","shortTermInvestments","longTermDebt","X.ticker."
"1","AACG","2022-06-17 16:00:05","ATA Creativity Global",1.07,32142096,-0.152,NA,0.18558657,31598600,"USD","2022-03-31",62413833,352000,69395520,38000000,76353429,194754963,89224444,26085747,493814103,208692644,22767992,2553060,274274837,319148853,4720147,-326009894,-47175051,540576988,-37594335,172112190,-111867217,NA,NA,NA,NA,NA,NA,NA,NA,"AACG"
"2","AACI","2022-06-17 09:30:03","Armada Acquisition Corp. I",9.99,203988576,-0.203,NA,-140.7143,20709500,"USD","2022-03-31",343600,NA,570503,NA,NA,NA,NA,150016139,150586642,NA,150000000,NA,2028739,152028739,570,-2877399,NA,1434732,NA,-1442097,-1442097,NA,NA,1841705,NA,NA,NA,NA,NA,"AACI"
"3","AADI","2022-06-17 16:00:05","Aadi Bioscience, Inc.",30,285858304,-8.813,NA,2.293732,20942000,"USD","2022-03-31",129849000,2708000,135620000,NA,619000,NA,3743000,2337000,142319000,NA,5757000,NA,11510000,17691000,2000,-156542000,NA,281168000,NA,124628000,120885000,NA,NA,4010000,NA,202000,NA,NA,NA,"AADI"
"4","AAL","2022-06-17 16:00:04","American Airlines Group, Inc.",12.95,8404723712,-3.671,NA,-0.94013363,649515008,"USD","2022-03-31",376000000,1537000000,17762000000,236000000,37058000000,4091000000,1970000000,6284000000,67401000000,11456000000,12485000000,NA,21866000000,76341000000,6000000,-10273000000,-5916000000,7243000000,-5916000000,-8940000000,-15001000000,952000000,4000000000,2546000000,NA,2002000000,2208000000,12108000000,34885000000,"AAL"
"5","AAME","2022-06-17 16:00:05","Atlantic American Corporation",3.1,59374476,0.351,8.290598,0.46988538,20403600,"USD","2022-03-31",15612000,11550000,54198000,263012000,3963000,NA,42419000,11439000,375031000,19834000,171737000,NA,39712000,248608000,22401000,53599000,-7075000,57443000,346000,126368000,123824000,27036000,5447000,19102000,NA,NA,NA,NA,33738000,"AAME"
"6","AAOI","2022-06-17 16:00:04","Applied Optoelectronics, Inc.",2.59,51399428,-2.01,NA,0.21374397,27634100,"USD","2022-03-31",31980000,55413000,193239000,NA,243446000,NA,9640000,428000,446753000,1567000,NA,NA,116534000,207176000,27000,-158733000,14809000,383474000,14809000,239577000,229937000,8128000,NA,40044000,NA,92007000,52233000,NA,83884000,"AAOI"
"7","AAON","2022-06-17 16:00:05","AAON, Inc.",51.03,2704508416,1.12,45.5,5.6321836,53071200,"USD","2022-03-31",5633000,125829000,283696000,NA,283232000,81892000,67310000,1328000,717458000,42570000,42756000,NA,114226000,237302000,212000,402370000,NA,77574000,NA,480156000,330954000,595000,NA,35796000,NA,146091000,NA,NA,65000000,"AAON"
"8","AAPL","2022-06-17 16:00:05","Apple Inc.",131.58,2129324802048,6.137,21.437183,31.640211,16185199616,"USD","2022-03-26",28098000000,45400000000,118180000000,141219000000,39304000000,NA,NA,51959000000,350662000000,58168000000,52432000000,NA,127508000000,283263000000,61181000000,12712000000,-6494000000,NA,-6494000000,67399000000,67399000000,15809000000,NA,52682000000,NA,5460000000,9659000000,23413000000,103323000000,"AAPL"
"9","AATC","2022-06-17 16:00:05","Autoscope Technologies Corporat",5.64,29006216,0.221,24.343891,1.500279,5391490,"USD","2022-03-31",4407000,2454000,9642000,2338000,2212000,NA,620000,7184000,21996000,474000,NA,NA,1003000,2663000,54000,-5767000,-350000,25396000,-350000,19333000,18713000,NA,4825000,406000,2359000,1366000,56000,419000,1660000,"AATC"
"10","AAWW","2022-06-17 16:00:04","Atlas Air Worldwide Holdings",77.5,1766128640,15.259,4.105774,0.6435145,28190400,"USD","2022-03-31",730349000,297264000,1132077000,NA,4381138000,NA,63289000,756301000,6332805000,151515000,402549000,NA,1401471000,3571475000,351000,2250501000,-317913000,828391000,-433000,2761330000,2698041000,10554000,NA,122751000,314193000,NA,607999000,NA,1615305000,"AAWW"
