"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","minorityInterest","deferredLongTermLiab","X.ticker."
"1","AAPL",47.4377238680366,0.864629291692654,0.403634768980813,28.350412,170.85,3.6156879938507,"Apple Inc.","2022-08-19 16:00:04",2756463820800,6.05,47.512466,16070800384,"USD","2022-06-25",27502000000,20729000000,42242000000,5433000000,16386000000,112292000000,131077000000,40335000000,52605000000,336309000000,48343000000,14009000000,56539000000,94700000000,53629000000,129873000000,278202000000,62115000000,5289000000,-9297000000,-9297000000,58107000000,58107000000,NA,NA,NA,NA,NA,NA,"AAPL"
"2","MSFT",24.3282616674875,1.78460697082518,0.855702024226165,30.057772,285.19,11.7620402615893,"Microsoft Corporation","2022-08-19 16:00:04",2134075113472,9.52,12.824363,7457889792,"USD","2022-06-30",13931000000,90818000000,44261000000,3742000000,16932000000,169684000000,6891000000,87546000000,21897000000,364840000000,19000000000,2749000000,59384000000,47032000000,30853000000,95082000000,198298000000,86939000000,84281000000,-4678000000,-4678000000,166542000000,87720000000,67524000000,11298000000,13515000000,NA,NA,NA,"MSFT"
"3","AMZN",12.6631590808492,0.952783856412742,0.463596761998571,127.99073,137.65,10.9159175269187,"Amazon.com, Inc.","2022-08-19 16:00:04",1408231931904,1.08,10.712182,10187599872,"USD","2022-06-30",37478000000,23232000000,34597000000,38153000000,207000000,133667000000,3168000000,232136000000,30562000000,419728000000,71219000000,5249000000,12818000000,64853000000,16658000000,140291000000,288326000000,107000000,80043000000,-12619000000,-4782000000,131402000000,111207000000,20195000000,NA,NA,63871000000,NA,NA,"AMZN"
"4","TSLA",25.8659426499346,1.43082351862884,1.01189434451467,109.741066,886,34.4081805958227,"Tesla, Inc.","2022-08-19 16:00:04",929596112896,8.11,25.47005,1044489984,"USD","2022-06-30",18324000000,591000000,2210000000,8108000000,294000000,31222000000,NA,33684000000,3170000000,68513000000,11212000000,1057000000,5457000000,2095000000,4314000000,21821000000,30855000000,1000000,5908000000,-477000000,-477000000,36376000000,35939000000,196000000,241000000,NA,30944000000,1282000000,NA,"TSLA"
"5","GOOGL",6.66899870699239,2.80945007660462,1.72775294188401,22.283268,116.92,38.3744146391177,"Alphabet Inc.","2022-08-19 16:00:04",1534489919488,5.26,6.001536,5996000256,"USD","2022-06-30",17936000000,107061000000,37073000000,1980000000,8321000000,172371000000,30665000000,119621000000,7202000000,355185000000,4409000000,NA,28053000000,12850000000,11981000000,61354000000,99766000000,64402000000,196845000000,-5828000000,-5828000000,255419000000,230093000000,23949000000,1377000000,1490000000,NA,NA,NA,"GOOGL"
"6","GOOG",6.66902889833241,2.80945007660462,1.72775294188401,22.413662,117.88,37.3345784793508,"Alphabet Inc.","2022-08-19 16:00:04",1534496866304,5.27,6.048131,6162999808,"USD","2022-06-30",17936000000,107061000000,37073000000,1980000000,8321000000,172371000000,30665000000,119621000000,7202000000,355185000000,4409000000,NA,28053000000,12850000000,11981000000,61354000000,99766000000,64402000000,196845000000,-5828000000,-5828000000,255419000000,230093000000,23949000000,1377000000,1490000000,NA,NA,NA,"GOOG"
"7","UNH",-22.670137572843,0.725371485264606,0.431674997483981,28.64786,548.55,-24.1868844959607,"UnitedHealth Group Incorporated","2022-08-19 16:00:01",512889192448,19.14,7.0403943,935382976,"USD","2022-06-30",24612000000,3352000000,31157000000,NA,NA,64339000000,42427000000,9421000000,18541000000,230172000000,54123000000,5592000000,28983000000,45799000000,14548000000,88698000000,149045000000,10000000,80540000000,-7730000000,-7730000000,72820000000,-22624000000,84159000000,11285000000,NA,NA,8307000000,NA,"UNH"
"8","NVDA",22.5282157536467,5.3173318950018,1.56547745077281,47.86538,177.04,7.92295345104334,"NVIDIA Corporation","2022-08-19 16:00:04",444797091840,3.729,16.981258,2492000000,"USD","2022-05-01",3887000000,16451000000,5438000000,3163000000,NA,29575000000,285000000,3772000000,5004000000,45212000000,1999000000,NA,3089000000,10947000000,1631000000,5562000000,18892000000,3000000,15758000000,-64000000,-64000000,26320000000,19744000000,4365000000,2211000000,1784000000,10623000000,NA,NA,"NVDA"
"9","JNJ",-2051.3660437235,1.42448852100578,0.629859816311028,24.644833,169.31,-0.0825352421376183,"Johnson & Johnson","2022-08-19 16:00:02",445146431488,6.87,5.829431,2629179904,"USD","2022-07-03",10983000000,21585000000,16139000000,11437000000,NA,63847000000,1861000000,18354000000,17088000000,177724000000,9765000000,NA,1980000000,28292000000,28254000000,44821000000,101367000000,3120000000,126216000000,-52979000000,-13843000000,76357000000,-217000000,34166000000,42408000000,9514000000,NA,NA,NA,"JNJ"
"10","META",4.31661033360428,2.5200072016924,1.2720848859402,14.504318,167.19,45.8518778257662,"Meta Platforms, Inc.","2022-08-19 16:00:04",451400892416,11.58,3.6018186,2280669952,"USD","2022-06-30",12681000000,27808000000,11525000000,NA,228000000,55987000000,6536000000,81718000000,4344000000,169779000000,4008000000,NA,1514000000,NA,6469000000,22217000000,44012000000,NA,69249000000,-3411000000,-3411000000,125767000000,104573000000,20229000000,965000000,NA,59929000000,NA,NA,"META"
