"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","X.ticker."
"1","AACI",-185.082463463651,0.408253731551743,0.0050044791454069,NA,9.99,-0.0530034042347715,"Armada Acquisition Corp. I","2022-02-25 16:00:02",203160208,-0.085,-185.09435,20709500,"USD","2021-12-31",419700,NA,759988,150003896,NA,NA,NA,NA,NA,150763884,74251,1.5e+08,NA,1861558,151861558,570,-2505013,NA,1406769,NA,-1097674,-1097674,NA,1787307,NA,NA,NA,NA,NA,"AACI"
"2","AADI",2.46672678431773,14.0069162271981,9.07816439737771,NA,17.35,7.03766631568871,"Aadi Bioscience, Inc.","2022-02-25 16:00:03",362719840,-8.896,2.4021032,20894000,"USD","2021-09-30",161375000,NA,162018000,NA,611000,NA,3880000,2263000,NA,168772000,22000,5757000,NA,11567000,17847000,2000,-126695000,NA,277618000,NA,150925000,147045000,NA,5205000,NA,NA,NA,NA,NA,"AADI"
"3","AAL",-0.844648143676876,0.912133010628223,0.234882870188465,NA,17.49,-20.6713291022244,"American Airlines Group, Inc.","2022-02-25 16:00:04",11334333440,-3.095,-1.5407695,649160000,"USD","2021-12-31",2.73e+08,1.505e+09,1.7336e+10,2.39e+08,3.687e+10,4.091e+09,1.988e+09,5.943e+09,3.556e+09,6.6467e+10,8.983e+09,1.262e+10,NA,1.9006e+10,7.3807e+10,6e+06,-8.638e+09,-5.942e+09,7.234e+09,-5.942e+09,-7.34e+09,-1.3419e+10,9.9e+08,1.772e+09,NA,2.315e+09,1.2158e+10,1.795e+09,3.5008e+10,"AAL"
"4","AAME",0.391565314856328,1.32837396430848,0.252554130913883,4.2996745,2.65,6.74217070848832,"Atlantic American Corporation","2022-02-25 16:00:03",53799508,0.614,0.38444737,20378600,"USD","2021-09-30",14327000,22479000,66695000,284032000,4320000,NA,41039000,7991000,321000,404077000,29923000,175834000,NA,50208000,264082000,22401000,48699000,11399000,57441000,18889000,139940000,137396000,29889000,20030000,NA,NA,NA,NA,33738000,"AAME"
"5","AAOI",0.373192744031679,2.14892591203729,1.01014323415057,NA,3.5,9.31587392298224,"Applied Optoelectronics, Inc.","2022-02-25 16:00:02",94903288,-2.041,0.35515752,27297600,"USD","2021-09-30",43534000,52447000,200570000,NA,249794000,NA,9667000,2493000,NA,462524000,2142000,NA,NA,93335000,198556000,27000,-128131000,13865000,378207000,13865000,263968000,254301000,5365000,28333000,NA,41254000,NA,94507000,97743000,"AAOI"
"6","AAON",7.72588399445914,3.64680753577878,2.33039681719541,43.992477,58.55,7.57324330510414,"AAON, Inc.","2022-02-25 16:00:04",3067562240,1.33,7.6623883,52428000,"USD","2021-09-30",101813000,60787000,270615000,NA,242002000,3229000,NA,557000,NA,516403000,19121000,41918000,NA,74206000,116124000,210000,388103000,NA,11966000,NA,400279000,397050000,660000,25940000,NA,NA,NA,104553000,NA,"AAON"
"7","AAPL",37.3999480362565,1.03781153861791,0.495228918155979,27.406485,164.45,4.40776010650494,"Apple Inc.","2022-02-25 16:00:03",2690253062144,6.015,37.448887,16319399936,"USD","2021-12-25",3.7119e+10,6.5253e+10,1.53154e+11,1.38683e+11,3.9245e+10,NA,NA,5.0109e+10,NA,3.81191e+11,5.7043e+10,5.5056e+10,NA,1.47574e+11,3.09259e+11,5.8424e+10,1.4435e+10,-9.27e+08,NA,-9.27e+08,7.1932e+10,7.1932e+10,1.8112e+10,7.4362e+10,NA,1.1169e+10,2.6794e+10,5.876e+09,1.06629e+11,"AAPL"
"8","AATC",1.71994431239389,18.1515994436718,18.1263888888889,12.290503,6.67,3.83733354181325,"Autoscope Technologies Corporat","2022-02-25 16:00:03",35456652,0.537,1.7200938,5372220,"USD","2021-09-30",8502000,2497000,13051000,NA,303000,NA,NA,7981000,5222000,21335000,354000,NA,NA,719000,720000,54000,-4294000,-250000,25105000,-250000,20615000,20615000,NA,167000,2759000,NA,NA,1485000,NA,"AATC"
"9","AAWW",0.820944150588386,0.933780827107644,0.364902669469161,4.773754,77.18,93.9406209674935,"Atlas Air Worldwide Holdings","2022-02-25 16:00:03",2253114880,16.155,0.8020134,29215700,"USD","2021-12-31",910965000,305905000,1326022000,NA,4722454000,40361000,24435000,329971000,664000,6443243000,146181000,392752000,NA,1420057000,3633906000,347000,2100446000,-225972000,934516000,-511000,2809337000,2744541000,15552000,82885000,326107000,508286000,NA,14600000,1609598000,"AAWW"
"10","ABCB",1.88920404421922,0.270605220838905,0.254796865957906,9.1870365,49.62,26.2597366402234,"Ameris Bancorp","2022-02-25 16:00:03",3453262848,5.4,1.1597896,69608200,"USD","2021-12-31",4021651000,NA,5323183000,720023000,225400000,1012620000,125938000,16451157000,NA,23858321000,NA,354265000,NA,19671398000,20891870000,72017000,1006436000,-36815000,1924813000,15590000,2966451000,1827893000,1297638000,19665553000,NA,NA,NA,3894000,866207000,"ABCB"
