"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","deferredLongTermAssetCharges","accountsPayable","deferredLongTermLiab","inventory","shortLongTermDebt","shortTermInvestments","longTermDebt","X.ticker."
"1","AACG",-0.287323640133105,0.253014533739382,0.217439352664695,NA,1.07,-3.54025865069971,"ATA Creativity Global","2022-06-17 16:00:05",32142096,-0.152,0.18558657,31598600,"USD","2022-03-31",62413833,352000,69395520,38000000,76353429,194754963,89224444,26085747,493814103,208692644,22767992,2553060,274274837,319148853,4720147,-326009894,-47175051,540576988,-37594335,172112190,-111867217,NA,NA,NA,NA,NA,NA,NA,NA,"AACG"
"2","AACI",-141.452742776665,0.281210643655985,0.00375259969761375,NA,9.99,-0.0696345638475096,"Armada Acquisition Corp. I","2022-06-17 09:30:03",203988576,-0.203,-140.7143,20709500,"USD","2022-03-31",343600,NA,570503,NA,NA,NA,NA,150016139,150586642,NA,150000000,NA,2028739,152028739,570,-2877399,NA,1434732,NA,-1442097,-1442097,NA,NA,1841705,NA,NA,NA,NA,NA,"AACI"
"3","AADI",2.36471277660586,11.7827975673328,7.6660448815782,NA,30,5.77237131124057,"Aadi Bioscience, Inc.","2022-06-17 16:00:05",285858304,-8.813,2.293732,20942000,"USD","2022-03-31",129849000,2708000,135620000,NA,619000,NA,3743000,2337000,142319000,NA,5757000,NA,11510000,17691000,2000,-156542000,NA,281168000,NA,124628000,120885000,NA,NA,4010000,NA,202000,NA,NA,NA,"AADI"
"4","AAL",-0.560277562295847,0.812311350955822,0.23266658807194,NA,12.95,-23.0956941952602,"American Airlines Group, Inc.","2022-06-17 16:00:04",8404723712,-3.671,-0.94013363,649515008,"USD","2022-03-31",376000000,1537000000,17762000000,236000000,37058000000,4091000000,1970000000,6284000000,67401000000,11456000000,12485000000,NA,21866000000,76341000000,6000000,-10273000000,-5916000000,7243000000,-5916000000,-8940000000,-15001000000,952000000,4000000000,2546000000,NA,2002000000,2208000000,12108000000,34885000000,"AAL"
"5","AAME",0.479507009949606,1.36477639000806,0.218005856609602,8.290598,3.1,6.0687329686918,"Atlantic American Corporation","2022-06-17 16:00:05",59374476,0.351,0.46988538,20403600,"USD","2022-03-31",15612000,11550000,54198000,263012000,3963000,NA,42419000,11439000,375031000,19834000,171737000,NA,39712000,248608000,22401000,53599000,-7075000,57443000,346000,126368000,123824000,27036000,5447000,19102000,NA,NA,NA,NA,33738000,"AAME"
"6","AAOI",0.223537003614033,1.65821991865035,0.932728694443372,NA,2.59,8.32077035257164,"Applied Optoelectronics, Inc.","2022-06-17 16:00:04",51399428,-2.01,0.21374397,27634100,"USD","2022-03-31",31980000,55413000,193239000,NA,243446000,NA,9640000,428000,446753000,1567000,NA,NA,116534000,207176000,27000,-158733000,14809000,383474000,14809000,239577000,229937000,8128000,NA,40044000,NA,92007000,52233000,NA,83884000,"AAOI"
"7","AAON",8.17185595581259,2.48363770069862,1.19550614828362,45.5,51.03,6.23603762492651,"AAON, Inc.","2022-06-17 16:00:05",2704508416,1.12,5.6321836,53071200,"USD","2022-03-31",5633000,125829000,283696000,NA,283232000,81892000,67310000,1328000,717458000,42570000,42756000,NA,114226000,237302000,212000,402370000,NA,77574000,NA,480156000,330954000,595000,NA,35796000,NA,146091000,NA,NA,65000000,"AAON"
"8","AAPL",31.5928248497455,0.926843805878847,0.417209448463089,21.437183,131.58,4.16423656173954,"Apple Inc.","2022-06-17 16:00:05",2129324802048,6.137,31.640211,16185199616,"USD","2022-03-26",28098000000,45400000000,118180000000,141219000000,39304000000,NA,NA,51959000000,350662000000,58168000000,52432000000,NA,127508000000,283263000000,61181000000,12712000000,-6494000000,NA,-6494000000,67399000000,67399000000,15809000000,NA,52682000000,NA,5460000000,9659000000,23413000000,103323000000,"AAPL"
"9","AATC",1.55005696574574,9.61316051844467,3.62072850168982,24.343891,5.64,3.4708401573591,"Autoscope Technologies Corporat","2022-06-17 16:00:05",29006216,0.221,1.500279,5391490,"USD","2022-03-31",4407000,2454000,9642000,2338000,2212000,NA,620000,7184000,21996000,474000,NA,NA,1003000,2663000,54000,-5767000,-350000,25396000,-350000,19333000,18713000,NA,4825000,406000,2359000,1366000,56000,419000,1660000,"AATC"
"10","AAWW",0.654596664765287,0.807777685018099,0.316977439293289,4.105774,77.5,95.7077941426869,"Atlas Air Worldwide Holdings","2022-06-17 16:00:04",1766128640,15.259,0.6435145,28190400,"USD","2022-03-31",730349000,297264000,1132077000,NA,4381138000,NA,63289000,756301000,6332805000,151515000,402549000,NA,1401471000,3571475000,351000,2250501000,-317913000,828391000,-433000,2761330000,2698041000,10554000,NA,122751000,314193000,NA,607999000,NA,1615305000,"AAWW"
"11","ABCB",1.4911104542404,0.240017230795366,0.228775778369166,8.374476,40.02,26.8457625605235,"Ameris Bancorp","2022-06-17 16:00:06",2779514880,4.78,0.92133117,69435800,"USD","2022-03-31",3798460000,NA,4702059000,720053000,224293000,1022345000,120757000,16770785000,23560292000,NA,410280000,NA,19590506000,20553133000,72212000,1077725000,-71480000,1928702000,-1841000,3007159000,1864057000,901550000,NA,19588441000,NA,2049000,NA,NA,552347000,"ABCB"
"12","ABCL",2.83998317809365,5.50271298578377,3.05206064732758,15.787832,10.28,3.5634014676526,"AbCellera Biologics Inc.","2022-06-17 16:00:05",2879504384,0.641,2.384543,284536000,"USD","2022-03-31",545718000,334403000,1174378000,34482000,122049000,47806000,145785000,67789000,1592289000,147387000,135008000,NA,213418000,384782000,725755000,436239000,787000,44726000,787000,1207507000,1013916000,53922000,NA,10352000,NA,NA,NA,240335000,NA,"ABCL"
"13","ABCM",10.8989036917923,4.77877428998505,1.68440463645943,617.8261,20.93,1.30380089628122,"Abcam plc","2022-06-17 16:00:05",3253322752,0.023,4.949495,228946000,"USD","2021-06-30",219900000,53300000,319700000,3500000,160000000,181000000,155200000,5100000,824500000,1700000,20500000,NA,66900000,189800000,500000,282200000,86500000,265500000,88800000,634700000,298500000,600000,5100000,57100000,NA,45900000,NA,NA,NA,"ABCM"
