"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","deferredLongTermAssetCharges","accountsPayable","deferredLongTermLiab","inventory","shortLongTermDebt","shortTermInvestments","longTermDebt","X.ticker."
"1","ADES",0.622781912776284,5.87795275590551,2.96827059993015,1.9821732,4.99,7.498612289356,"Advanced Emissions Solutions, I","2022-06-17 16:00:04",89179256,2.356,0.59749234,19096200,"USD","2022-03-31",79807000,13008000,110482000,1263000,46121000,NA,1155000,22550000,181571000,1755000,9252000,NA,18796000,37221000,24000,89831000,-47692000,102187000,NA,144350000,143195000,4285000,NA,9328000,6855000,10280000,NA,NA,NA,"ADES"
"2","AESE",0.559266266328588,17.9570773318987,13.1706895407417,0.8768656,1.49,2.52116041915387,"Allied Esports Entertainment, I","2022-06-17 16:00:06",55154828,1.608,0.55908006,39116900,"USD","2021-12-31",92887030,389040,94260847,NA,6136893,NA,26827,5379105,105803672,355026,1907634,NA,5249231,7156865,3912,-99411683,269606,197784972,269606,98646807,98619980,NA,NA,341161,NA,NA,NA,NA,NA,"AESE"
"3","CAN",0.170798742876638,2.52911173735219,2.42617825905528,1.5141352,3.17,18.5013070935501,"Canaan Inc.","2022-06-17 16:00:05",590739904,2.087,0.13690916,186943008,"USD","2021-12-31",2684342000,274979000,5273461000,20000000,216486000,NA,NA,122310000,5632257000,1657638000,72171000,NA,2085104000,2173567000,1000,900762000,-333207000,2891134000,-101926000,3458690000,3458690000,1501777000,99044000,143441000,NA,812363000,NA,NA,NA,"CAN"
"4","CHY",0.660646028854817,4.44157980418915,0.0888926135940657,2.5040727,11.22,16.2870888231746,"Calamos Convertible and High In","2022-06-17 16:00:04",797504384,4.297,0.65685856,74117504,"USD","2021-10-31",NA,8849479,52629123,1601512974,NA,NA,NA,145069099,1799211196,2227804,576340,NA,11849190,592052825,873806084,333352287,NA,NA,NA,1207158371,1207158371,43315439,NA,8416912,NA,NA,NA,NA,579627295,"CHY"
"5","CLPS",0.569201470299095,2.33595304242752,2.18515399652191,3.9004726,1.68,2.89862195428051,"CLPS Incorporation","2022-06-17 16:00:04",35495616,0.423,0.5059491,21513800,"USD","2021-12-31",21741601,44250396,76004778,835041,20886477,2441368,1106806,816266,102090736,3400246,2245398,1399845,32536946,34782344,2021,13202704,1715151,50988671,1715151,65908547,62360373,181886,408445,515918,NA,NA,NA,6512256,NA,"CLPS"
"6","CONN",0.323069026819275,3.17629713330444,0.720228281213393,3.4820685,9.18,25.8458712202422,"Conn's, Inc.","2022-06-17 16:00:05",198628976,2.398,0.35827684,23787900,"USD","2022-01-31",7707000,525587000,820806000,NA,449030000,NA,NA,484630000,1754466000,18576000,28643000,NA,258416000,1139647000,330000,599215000,-125145000,140419000,NA,614819000,614819000,31930000,NA,74705000,5100000,246826000,NA,NA,516923000,"CONN"
"7","CREG",0.168667064996759,14.078051635404,9.01543755767111,2.577488,3.42,18.7351346140143,"Smart Powerr Corp.","2022-06-17 16:00:05",22616532,1.226,0.15857881,7157130,"USD","2021-09-30",149522088,1048665,150628930,NA,151852,NA,NA,16901,150797683,2527826,5637202,NA,10699558,16707889,6729,-26484650,975955,159591760,975955,134089794,134089794,19585,NA,76537,NA,NA,7133323,NA,308385,"CREG"
"8","DDI",0.00228302843530995,9.99757994917763,2.62931227076043,5.9779277,14,4270.64338390504,"DoubleDown Interactive Co., Ltd","2022-06-17 16:00:04",483145664,1.631,0.5487702,49553400,"USD","2021-12-31",176797608650,25933101810,321086193100,1764000000,8140986730,763091487000,63636946000,2751658120,1160471270950,4074630650,34453333140,NA,32116391640,122117938090,24776720000,209798670190,44223557360,759554385310,44223557360,1038353332860,211624899860,1915278870,2640203780,14752000,NA,NA,NA,NA,50000000000,"DDI"
"9","DSWL",0.594592460254642,3.33984478515995,3.22708318092033,6.345962,3.5,5.54985190019579,"Deswell Industries, Inc.","2022-06-17 16:00:04",52584568,0.52,0.5784224,15935200,"USD","2021-09-30",17379000,17502000,88222000,308000,27246000,NA,NA,NA,115776000,4219000,923000,NA,26415000,27338000,53202000,24768000,2495000,7973000,5316000,88438000,88438000,NA,NA,12157000,NA,20992000,NA,28929000,NA,"DSWL"
"10","FAMI",0.145223802344151,37.4552773882857,31.7307335626664,2.1311474,1.05,7.16136048783111,"Farmmi, Inc. Ordinary Shares","2022-06-17 16:00:04",23211968,0.488,0.14512977,22319200,"USD","2021-09-30",59251904,24473318,155305536,NA,856147,NA,40075,9485143,165686901,1761671,NA,916506,4146426,4894483,557781,10100932,2128972,147088227,2128972,159875912,159835837,696586,NA,56457,NA,68090172,NA,2793556,142264,"FAMI"
"11","FFHL",0.0528481437903961,2.25541611161747,2.22998827844368,1.2592047,5.36,97.0705852093183,"Fuwei Films (Holdings) Co., Ltd","2022-06-17 14:45:53",16753760,4.074,0.052847918,3265840,"USD","2021-12-31",250608000,29225000,353859000,NA,106928000,NA,NA,14912000,475699000,7672000,1789000,NA,156893000,158682000,13323000,-9053000,840000,311907000,840000,317017000,317017000,38570000,227000,72742000,NA,35456000,NA,NA,NA,"FFHL"
"12","GGE",0.224072729462494,2.28444027595696,0.574828161825609,8.106061,1.45,4.77523537683276,"Green Giant Inc.","2022-06-17 16:00:00",43297444,0.132,0.19335021,40464900,"USD","2021-12-31",2446011,13295920,112257683,NA,558064,NA,NA,275702790,388518537,25484855,25183600,NA,49140126,195289115,25617,52152204,4516298,136535303,4516298,193229422,193229422,8850456,NA,13949705,NA,87665296,NA,NA,120965389,"GGE"
"13","GLBS",0.269898619022251,4.11842322282698,1.27287556711016,1.2540822,1.94,7.11378223036298,"Globus Maritime Limited","2022-06-17 16:00:04",39518016,1.531,0.24931826,20582300,"USD","2021-12-31",45213000,1003000,49940000,NA,131709000,NA,NA,4003000,185652000,2195000,114000,NA,12126000,39234000,82000,-138070000,NA,284406000,NA,146418000,146418000,1648000,NA,1100000,NA,852000,4895000,NA,26438000,"GLBS"
