"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","deferredLongTermAssetCharges","accountsPayable","deferredLongTermLiab","inventory","shortLongTermDebt","shortTermInvestments","longTermDebt","X.ticker."
"1","ADES",0.622781912776284,5.87795275590551,2.96827059993015,1.9821732,4.99,7.498612289356,"Advanced Emissions Solutions, I","2022-06-17 16:00:04",89179256,2.356,0.59749234,19096200,"USD","2022-03-31",79807000,13008000,110482000,1263000,46121000,NA,1155000,22550000,181571000,1755000,9252000,NA,18796000,37221000,24000,89831000,-47692000,102187000,NA,144350000,143195000,4285000,NA,9328000,6855000,10280000,NA,NA,NA,"ADES"
"2","AESE",0.559266266328588,17.9570773318987,13.1706895407417,0.8768656,1.49,2.52116041915387,"Allied Esports Entertainment, I","2022-06-17 16:00:06",55154828,1.608,0.55908006,39116900,"USD","2021-12-31",92887030,389040,94260847,NA,6136893,NA,26827,5379105,105803672,355026,1907634,NA,5249231,7156865,3912,-99411683,269606,197784972,269606,98646807,98619980,NA,NA,341161,NA,NA,NA,NA,NA,"AESE"
"3","CHY",0.660646028854817,4.44157980418915,0.0888926135940657,2.5040727,11.22,16.2870888231746,"Calamos Convertible and High In","2022-06-17 16:00:04",797504384,4.297,0.65685856,74117504,"USD","2021-10-31",NA,8849479,52629123,1601512974,NA,NA,NA,145069099,1799211196,2227804,576340,NA,11849190,592052825,873806084,333352287,NA,NA,NA,1207158371,1207158371,43315439,NA,8416912,NA,NA,NA,NA,579627295,"CHY"
"4","CONN",0.323069026819275,3.17629713330444,0.720228281213393,3.4820685,9.18,25.8458712202422,"Conn's, Inc.","2022-06-17 16:00:05",198628976,2.398,0.35827684,23787900,"USD","2022-01-31",7707000,525587000,820806000,NA,449030000,NA,NA,484630000,1754466000,18576000,28643000,NA,258416000,1139647000,330000,599215000,-125145000,140419000,NA,614819000,614819000,31930000,NA,74705000,5100000,246826000,NA,NA,516923000,"CONN"
"5","LSEA",0.493900884360604,9.56041922088195,1.87648517272483,4.4543715,8.1,14.13238987509,"Landsea Homes Corporation","2022-06-17 16:00:05",293762368,1.567,0.510794,42086300,"USD","2021-12-31",342810000,10598000,1208676000,470000,19194000,24457000,910000,11807000,1265514000,27771000,48013000,1250000,126425000,644117000,5000,84797000,NA,535345000,NA,620147000,594780000,5167000,7270000,73734000,NA,844792000,NA,NA,461117000,"LSEA"
"6","NWLI",0.281152943409257,15.1564851341643,0.30598224095369,4.614517,313.6,739.137432261745,"National Western Life Group, In","2022-06-17 16:00:06",714041600,42.557,0.31072587,3436020,"USD","2021-12-31",714624000,NA,3607683000,9206227000,NA,NA,724338000,791941000,14330189000,229817000,11551476000,NA,238029000,11790498000,36000,2281986000,215953000,41716000,215953000,2539691000,2539691000,1815621000,NA,NA,78136000,NA,NA,NA,NA,"NWLI"
"7","PFIN",0.512944291589006,3.03659546282497,2.55581881533101,8.7479925,6.55,10.6249351678093,"P & F Industries, Inc.","2022-06-17 16:00:05",17338030,0.623,0.401355,3181290,"USD","2021-12-31",539000,9578000,36676000,NA,11049000,4447000,5592000,426000,58190000,NA,96000,NA,12078000,14350000,4453000,36046000,-10826000,14167000,-613000,43840000,33801000,NA,349000,2920000,NA,24021000,NA,NA,NA,"PFIN"
"8","PFX",0.565407712537421,4.70425514670542,0.694627377468364,12.59504,43.5,67.3849966647154,"PhenixFIN Corporation","2022-06-17 16:00:05",83961344,3.025,0.60532874,2203710,"USD","2021-12-31",59380000,4640881,64020881,175399055,600000,NA,NA,642845,240662781,NA,386156,NA,13609143,92165790,2517,-540372168,NA,688866642,NA,148496991,148496991,NA,NA,922416,NA,NA,NA,NA,77640957,"PFX"
"9","SEVN",0.607540664950067,3.9283946798639,1.71734203779626,3.864193,11,18.1716231306218,"Seven Hills Realty Trust","2022-06-17 16:00:05",161151984,2.857,0.60752803,14597100,"USD","2022-03-31",8953000,622710000,635025000,NA,NA,NA,NA,NA,635025000,1126000,NA,NA,161650000,369772000,15000,27532000,NA,237706000,NA,265253000,265253000,3362000,NA,967000,NA,NA,159557000,NA,208122000,"SEVN"
"10","SNFCA",0.581887658897392,2.64197313229848,0.404658374646182,5.6524725,17.49,16.3626660029362,"Security National Financial Cor","2022-06-17 16:00:04",169271344,1.456,0.5759272,17778300,"USD","2021-12-31",132413989,18316116,504943432,329448203,34001236,5253783,170144536,503802116,1547593306,1557480,961333094,NA,191123606,1247826472,41018574,184537489,16224824,57985947,18070448,299766834,290900385,345235450,NA,19161385,NA,8977877,165011109,NA,86510946,"SNFCA"
"11","SSSS",0.563388126622764,8.32495012064071,2.0630859882993,3.208633,7,11.8745849959317,"SuRo Capital Corp.","2022-06-17 16:00:05",205550256,2.085,0.54764247,30725000,"USD","2021-12-31",198437078,136148,201087347,260136253,470508,NA,NA,621719,462315827,23390048,NA,NA,24154781,97469203,311185,14456030,NA,350079409,NA,364846624,364846624,2063219,NA,404539,621719,NA,NA,NA,73029108,"SSSS"
"12","TURN",0.586340979456365,2.07726081226122,1.67110980798858,4.528913,7.3,10.6591559505678,"180 Degree Capital Corp.","2022-06-17 15:57:05",64835212,1.38,0.58634955,10373800,"USD","2021-12-31",4157676,3294481,8064801,65438492,130270,NA,NA,41768404,115401967,NA,833914,NA,3882421,4826015,334594,-4150781,-4605525,118997664,NA,110575952,110575952,259979,NA,575546,NA,NA,NA,NA,NA,"TURN"
"13","VRA",0.61214959638103,3.57750140888365,1.7552535002388,12.172775,5.25,7.59618288337259,"Vera Bradley, Inc.","2022-06-17 16:00:04",146281104,0.382,0.48366964,31458300,"USD","2022-01-29",88436000,30072000,279317000,NA,139814000,44254000,44223000,9938000,517546000,4000000,195000,30974000,78076000,159132000,NA,334364000,-114831000,107907000,-29000,327440000,238963000,2800000,3857000,30492000,5200000,144881000,NA,NA,NA,"VRA"
